Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
705,43.73,0.572,KG,39.23,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
706,44.69,0.586,KG,40.19,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
707,22.06,0.256,KG,17.56,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
708,39.47,0.51,KG,34.98,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
709,23.01,1,UN,4.5,4.5,LIMONADA,1,0.27,KG,18.52,68.6,BUFFET,,,"",,,"",,,"",,,"",
710,51.41,0.684,KG,46.92,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
711,57.59,0.774,KG,53.09,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
712,53.33,0.712,KG,48.84,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
713,30.52,1,UN,3.5,3.5,AGUA,1,0.394,KG,27.02,68.6,BUFFET,,,"",,,"",,,"",,,"",
714,37.12,0.41,KG,28.12,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
715,32.17,1,UN,3.5,3.5,AGUA,1,0.418,KG,28.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
716,55.32,1,UN,20.9,20.9,SAKE,1,0.502,KG,34.43,68.6,BUFFET,,,"",,,"",,,"",,,"",
717,45.65,0.6,KG,41.16,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
718,44.97,0.59,KG,40.47,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
719,28.05,1,UN,3.5,3.5,AGUA,1,0.358,KG,24.55,68.6,BUFFET,,,"",,,"",,,"",,,"",
720,56.3,1,UN,3.5,3.5,AGUA,1,0.77,KG,52.82,68.6,BUFFET,,,"",,,"",,,"",,,"",
721,36.05,0.46,KG,31.55,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
722,104.91,1.464,KG,100.43,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
723,30.39,1,UN,3.5,3.5,AGUA,1,0.392,KG,26.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
724,89.55,2,UN,13,6.5,SUSHI ESPECIAL,1,1.116,KG,76.55,68.6,BUFFET,,,"",,,"",,,"",,,"",
725,35.3,0.42,KG,28.81,68.6,BUFFET,1,1,UN,6.5,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
726,64.27,1,UN,3.5,3.5,AGUA,1,0.886,KG,60.77,68.6,BUFFET,,,"",,,"",,,"",,,"",
727,100.31,1.2,KG,82.32,68.6,BUFFET,1,4,UN,18,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
728,102.98,1.24,KG,84.99,68.6,BUFFET,1,4,UN,18,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
729,26.04,0.314,KG,21.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
730,35.64,0.454,KG,31.14,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
731,27.51,1,UN,3.5,3.5,AGUA,1,0.35,KG,24.01,68.6,BUFFET,,,"",,,"",,,"",,,"",
732,50.46,0.67,KG,45.96,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
733,52.88,1,UN,3.5,3.5,AGUA,1,0.72,KG,49.39,68.6,BUFFET,,,"",,,"",,,"",,,"",
734,27.21,1,UN,6.5,6.5,SUSHI ESPECIAL,1,0.302,KG,20.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
735,32.61,0.286,KG,19.61,68.6,BUFFET,1,2,UN,13,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
736,26.58,0.322,KG,22.08,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
737,47.53,2,UN,7,3.5,AGUA,1,0.59,KG,40.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
738,53.61,0.716,KG,49.11,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
739,62.62,1,UN,3.5,3.5,AGUA,1,0.862,KG,59.13,68.6,BUFFET,,,"",,,"",,,"",,,"",
740,41.4,0.538,KG,36.9,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
741,44.69,0.586,KG,40.19,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
742,31.52,0.394,KG,27.02,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
743,120.78,1,UN,3.5,3.5,AGUA,1,1.71,KG,117.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
744,37.7,0.484,KG,33.2,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
745,27.51,1,UN,3.5,3.5,AGUA,1,0.35,KG,24.01,68.6,BUFFET,,,"",,,"",,,"",,,"",
746,28.47,1,UN,3.5,3.5,AGUA,1,0.364,KG,24.97,68.6,BUFFET,,,"",,,"",,,"",,,"",
747,29.84,1,UN,3.5,3.5,AGUA,1,0.384,KG,26.34,68.6,BUFFET,,,"",,,"",,,"",,,"",
748,74.19,1.016,KG,69.69,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
749,26.31,0.318,KG,21.81,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
750,43.73,0.572,KG,39.23,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
751,34.23,1,UN,3.5,3.5,AGUA,1,0.448,KG,30.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
752,28.92,0.356,KG,24.42,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
753,28.78,0.354,KG,24.28,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
754,63.07,0.854,KG,58.58,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
755,30.28,1,UN,6,6,CERVEJA,1,0.354,KG,24.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
756,31.48,1,UN,3.5,3.5,AGUA,1,0.408,KG,27.98,68.6,BUFFET,,,"",,,"",,,"",,,"",
757,32.69,1,UN,4.5,4.5,LIMONADA,1,0.41,KG,28.19,68.6,BUFFET,,,"",,,"",,,"",,,"",
758,32.76,0.412,KG,28.26,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
759,52.47,1,UN,3.5,3.5,AGUA,1,0.714,KG,48.98,68.6,BUFFET,,,"",,,"",,,"",,,"",
760,45.88,1,UN,3.5,3.5,AGUA,1,0.618,KG,42.39,68.6,BUFFET,,,"",,,"",,,"",,,"",
761,79.22,1,UN,3.5,3.5,AGUA,1,1.104,KG,75.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
762,64.3,0.872,KG,59.81,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
763,62.94,0.852,KG,58.44,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
764,25.17,1,UN,3.5,3.5,AGUA,1,0.316,KG,21.67,68.6,BUFFET,,,"",,,"",,,"",,,"",
765,21.71,1,UN,1,1,CHA,1,0.302,KG,20.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
766,22.06,0.256,KG,17.56,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
767,30.29,0.376,KG,25.79,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
768,35.37,0.45,KG,30.87,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
769,24.11,0.286,KG,19.61,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
770,64.99,0.882,KG,60.5,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
771,54.57,0.73,KG,50.07,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
772,24.53,0.292,KG,20.03,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
773,41.23,1,UN,3.5,3.5,AGUA,1,0.55,KG,37.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
774,82.29,3,UN,3,1,CHA,1,1.156,KG,79.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
775,66.64,0.906,KG,62.15,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
776,28.37,1,UN,4.5,4.5,SUCO,1,0.348,KG,23.87,68.6,BUFFET,,,"",,,"",,,"",,,"",
777,31.8,0.398,KG,27.3,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
778,22.33,0.26,KG,17.83,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
779,20.78,1,UN,3.5,3.5,AGUA,1,0.252,KG,17.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
780,27.68,0.338,KG,23.18,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
781,51.09,1,UN,3.5,3.5,AGUA,1,0.694,KG,47.6,68.6,BUFFET,,,"",,,"",,,"",,,"",
782,46.43,1,UN,3.5,3.5,AGUA,1,0.626,KG,42.94,68.6,BUFFET,,,"",,,"",,,"",,,"",
783,39.84,1,UN,3.5,3.5,AGUA,1,0.53,KG,36.35,68.6,BUFFET,,,"",,,"",,,"",,,"",
784,17.63,1,UN,3.5,3.5,AGUA,1,0.206,KG,14.13,68.6,BUFFET,,,"",,,"",,,"",,,"",
785,22.98,1,UN,3.5,3.5,AGUA,1,0.284,KG,19.48,68.6,BUFFET,,,"",,,"",,,"",,,"",
786,68.55,0.934,KG,64.07,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
787,53.55,1,UN,20.9,20.9,SAKE,1,0.476,KG,32.65,68.6,BUFFET,,,"",,,"",,,"",,,"",
788,29.74,0.368,KG,25.24,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
789,57.93,1,UN,20.9,20.9,SAKE,1,0.54,KG,37.04,68.6,BUFFET,,,"",,,"",,,"",,,"",
790,48.33,1,UN,20.9,20.9,SAKE,1,0.4,KG,27.44,68.6,BUFFET,,,"",,,"",,,"",,,"",
791,73.74,3,UN,10.5,3.5,AGUA,1,0.922,KG,63.24,68.6,BUFFET,,,"",,,"",,,"",,,"",
792,33.41,3,UN,10.5,3.5,AGUA,1,0.334,KG,22.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
793,43.42,3,UN,10.5,3.5,AGUA,1,0.48,KG,32.92,68.6,BUFFET,,,"",,,"",,,"",,,"",
794,36.01,3,UN,10.5,3.5,AGUA,1,0.372,KG,25.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
795,83.38,0.82,KG,56.39,68.6,BUFFET,1,6,UN,27,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
796,26.25,0.186,KG,12.75,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
797,39.56,3,UN,13.5,4.5,SUCO,1,0.38,KG,26.06,68.6,BUFFET,,,"",,,"",,,"",,,"",
798,30.22,1,UN,1,1,CHA,1,0.426,KG,29.22,68.6,BUFFET,,,"",,,"",,,"",,,"",
799,48.48,0.51,KG,34.98,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
800,25.83,1,UN,1,1,CHA,1,0.362,KG,24.83,68.6,BUFFET,,,"",,,"",,,"",,,"",
801,41.78,3,UN,10.5,3.5,AGUA,1,0.456,KG,31.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
802,48.5,3,UN,10.5,3.5,AGUA,1,0.554,KG,38,68.6,BUFFET,,,"",,,"",,,"",,,"",
803,38.21,3,UN,10.5,3.5,AGUA,1,0.404,KG,27.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
804,30.23,0.244,KG,16.73,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
805,36.96,3,UN,13.5,4.5,SUCO,1,0.342,KG,23.46,68.6,BUFFET,,,"",,,"",,,"",,,"",
806,65.13,0.556,KG,38.14,68.6,BUFFET,1,6,UN,27,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
807,34.78,3,UN,10.5,3.5,AGUA,1,0.354,KG,24.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
808,77.43,0.932,KG,63.93,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
809,26.41,3,UN,10.5,3.5,AGUA,1,0.232,KG,15.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
810,100.07,3,UN,10.5,3.5,AGUA,1,1.306,KG,89.59,68.6,BUFFET,,,"",,,"",,,"",,,"",
811,19.79,1,UN,1,1,CHA,1,0.274,KG,18.79,68.6,BUFFET,,,"",,,"",,,"",,,"",
812,28.3,1,UN,1,1,CHA,1,0.398,KG,27.3,68.6,BUFFET,,,"",,,"",,,"",,,"",
813,51.64,0.556,KG,38.14,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
814,34.62,0.308,KG,21.12,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
815,42.58,0.424,KG,29.08,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
816,36.54,0.336,KG,23.04,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
817,48.53,0.642,KG,44.04,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
818,64.12,0.738,KG,50.62,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
819,37.39,3,UN,10.5,3.5,AGUA,1,0.392,KG,26.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
820,49.99,0.532,KG,36.49,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
821,33.5,1,UN,1,1,CHA,1,0.474,KG,32.51,68.6,BUFFET,,,"",,,"",,,"",,,"",
822,53.85,3,UN,10.5,3.5,AGUA,1,0.632,KG,43.35,68.6,BUFFET,,,"",,,"",,,"",,,"",
823,43.54,0.438,KG,30.04,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
824,67.78,6,UN,21,3.5,AGUA,1,0.682,KG,46.78,68.6,BUFFET,,,"",,,"",,,"",,,"",
825,71.11,0.84,KG,57.62,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
826,36.42,3,UN,10.5,3.5,AGUA,1,0.378,KG,25.93,68.6,BUFFET,,,"",,,"",,,"",,,"",
827,91.84,3,UN,10.5,3.5,AGUA,1,1.186,KG,81.35,68.6,BUFFET,,,"",,,"",,,"",,,"",
828,41.78,3,UN,10.5,3.5,AGUA,1,0.456,KG,31.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
829,96.72,6,UN,21,3.5,AGUA,1,1.104,KG,75.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
830,82.55,6,UN,27,4.5,SUCO,1,0.81,KG,55.56,68.6,BUFFET,,,"",,,"",,,"",,,"",
831,91.44,2,UN,9,4.5,LIMONADA,1,1.202,KG,82.45,68.6,BUFFET,,,"",,,"",,,"",,,"",
832,95.94,1.202,KG,82.45,68.6,BUFFET,1,3,UN,13.5,4.5,SUCO,,,"",,,"",,,"",,,"",
833,97.64,1.03,KG,70.65,68.6,BUFFET,1,6,UN,27,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
834,54.51,0.598,KG,41.02,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
835,193.59,2.232,KG,153.11,68.6,BUFFET,1,9,UN,40.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
836,54.38,0.596,KG,40.88,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
837,60.01,0.678,KG,46.51,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
838,60.01,0.678,KG,46.51,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
839,47.38,0.494,KG,33.88,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
840,65.76,0.762,KG,52.27,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
841,51.37,3,UN,10.5,3.5,AGUA,1,0.596,KG,40.88,68.6,BUFFET,,,"",,,"",,,"",,,"",
842,51.37,3,UN,10.5,3.5,AGUA,1,0.596,KG,40.88,68.6,BUFFET,,,"",,,"",,,"",,,"",
843,59.59,0.672,KG,46.09,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
844,46.14,0.476,KG,32.65,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
845,38.46,0.364,KG,24.97,68.6,BUFFET,1,3,UN,13.5,4.5,SUCO,,,"",,,"",,,"",,,"",
846,101.95,1.29,KG,88.49,68.6,BUFFET,1,3,UN,13.5,4.5,SUCO,,,"",,,"",,,"",,,"",
847,102.66,1.3,KG,89.18,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
848,122.05,1.386,KG,95.07,68.6,BUFFET,1,6,UN,27,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
849,45.2,3,UN,10.5,3.5,AGUA,1,0.506,KG,34.71,68.6,BUFFET,,,"",,,"",,,"",,,"",
850,39.43,0.378,KG,25.93,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
851,71.66,0.848,KG,58.17,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
852,33.82,3,UN,10.5,3.5,AGUA,1,0.34,KG,23.32,68.6,BUFFET,,,"",,,"",,,"",,,"",
853,157.75,1.542,KG,105.78,68.6,BUFFET,1,8,UN,52,6.5,CERVEJA LATA,,,"",,,"",,,"",,,"",
854,50.96,3,UN,10.5,3.5,AGUA,1,0.59,KG,40.47,68.6,BUFFET,,,"",,,"",,,"",,,"",
855,79.28,5,UN,32.5,6.5,SUSHI ESPECIAL,1,0.682,KG,46.78,68.6,BUFFET,,,"",,,"",,,"",,,"",
856,45.73,0.47,KG,32.24,68.6,BUFFET,1,3,UN,13.5,4.5,SUCO,,,"",,,"",,,"",,,"",
857,41.75,0.412,KG,28.26,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
858,41.75,0.412,KG,28.26,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
859,63.16,0.724,KG,49.66,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
860,41.22,3,UN,10.5,3.5,AGUA,1,0.448,KG,30.73,68.6,BUFFET,,,"",,,"",,,"",,,"",
861,27.92,1,UN,3.5,3.5,AGUA,1,0.356,KG,24.42,68.6,BUFFET,,,"",,,"",,,"",,,"",
862,30.52,1,UN,3.5,3.5,AGUA,1,0.394,KG,27.02,68.6,BUFFET,,,"",,,"",,,"",,,"",
863,26.04,0.314,KG,21.54,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
864,19.79,1,UN,1,1,CHA,1,0.274,KG,18.79,68.6,BUFFET,,,"",,,"",,,"",,,"",
865,27.54,0.336,KG,23.04,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
866,42.5,0.554,KG,38,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
867,38.25,0.492,KG,33.75,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
868,36.97,1,UN,3.5,3.5,AGUA,1,0.488,KG,33.47,68.6,BUFFET,,,"",,,"",,,"",,,"",
869,25.62,0.308,KG,21.12,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
870,33.03,1,UN,4.5,4.5,LIMONADA,1,0.416,KG,28.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
871,23.66,1,UN,3.5,3.5,AGUA,1,0.294,KG,20.16,68.6,BUFFET,,,"",,,"",,,"",,,"",
872,20.37,1,UN,3.5,3.5,AGUA,1,0.246,KG,16.87,68.6,BUFFET,,,"",,,"",,,"",,,"",
873,117.62,1,UN,9.8,9.8,CERVEJA LATA,1,1.57,KG,107.84,68.6,BUFFET,,,"",,,"",,,"",,,"",
874,117.62,1,UN,9.8,9.8,CERVEJA LATA,1,1.57,KG,107.84,68.6,BUFFET,,,"",,,"",,,"",,,"",
875,29.05,0.358,KG,24.55,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
876,65.09,1,UN,3.5,3.5,AGUA,1,0.898,KG,61.6,68.6,BUFFET,,,"",,,"",,,"",,,"",
877,35.46,1,UN,3.5,3.5,AGUA,1,0.466,KG,31.96,68.6,BUFFET,,,"",,,"",,,"",,,"",
878,99.51,3,UN,13.5,4.5,SUCO,1,1.254,KG,86.02,68.6,BUFFET,,,"",,,"",,,"",,,"",
879,34.09,1,UN,3.5,3.5,AGUA,1,0.446,KG,30.59,68.6,BUFFET,,,"",,,"",,,"",,,"",
880,24.76,1,UN,3.5,3.5,AGUA,1,0.31,KG,21.26,68.6,BUFFET,,,"",,,"",,,"",,,"",
881,34.95,0.444,KG,30.45,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
882,63.48,0.86,KG,58.99,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
883,22.19,0.258,KG,17.69,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
884,27.54,0.336,KG,23.04,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
885,39.76,0.514,KG,35.26,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
886,27.13,0.33,KG,22.63,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
887,23.29,1,UN,4.5,4.5,SUCO,1,0.274,KG,18.79,68.6,BUFFET,,,"",,,"",,,"",,,"",
888,31.39,0.392,KG,26.89,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
889,40.23,1,UN,1,1,CHA,1,0.572,KG,39.23,68.6,BUFFET,,,"",,,"",,,"",,,"",
890,63.86,1,UN,3.5,3.5,AGUA,1,0.88,KG,60.36,68.6,BUFFET,,,"",,,"",,,"",,,"",
891,27.54,0.336,KG,23.04,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
892,25.97,1,UN,1,1,CHA,1,0.364,KG,24.97,68.6,BUFFET,,,"",,,"",,,"",,,"",
893,38.08,2,UN,2,1,CHA,1,0.526,KG,36.08,68.6,BUFFET,,,"",,,"",,,"",,,"",
894,38.89,1,UN,3.5,3.5,AGUA,1,0.516,KG,35.39,68.6,BUFFET,,,"",,,"",,,"",,,"",
895,31.66,0.396,KG,27.16,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
896,27.78,1,UN,3.5,3.5,AGUA,1,0.354,KG,24.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
897,37.15,0.476,KG,32.65,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
898,25.62,0.308,KG,21.12,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
899,85.57,1.182,KG,81.08,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
900,30.52,1,UN,3.5,3.5,AGUA,1,0.394,KG,27.02,68.6,BUFFET,,,"",,,"",,,"",,,"",
901,41.09,1,UN,3.5,3.5,AGUA,1,0.548,KG,37.59,68.6,BUFFET,,,"",,,"",,,"",,,"",
902,92.11,1.212,KG,83.14,68.6,BUFFET,1,2,UN,9,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
903,35.87,2,UN,12,6,CERVEJA,1,0.348,KG,23.87,68.6,BUFFET,,,"",,,"",,,"",,,"",
904,22.7,1,UN,3.5,3.5,AGUA,1,0.28,KG,19.2,68.6,BUFFET,,,"",,,"",,,"",,,"",
905,30.56,0.38,KG,26.06,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
906,33.44,0.422,KG,28.94,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
907,27.08,1,UN,9.8,9.8,SUSHI ESPECIAL,1,0.252,KG,17.28,68.6,BUFFET,,,"",,,"",,,"",,,"",
908,57.41,1,UN,3.5,3.5,AGUA,1,0.786,KG,53.91,68.6,BUFFET,,,"",,,"",,,"",,,"",
909,30.11,1,UN,3.5,3.5,AGUA,1,0.388,KG,26.61,68.6,BUFFET,,,"",,,"",,,"",,,"",
910,94.84,1.186,KG,81.35,68.6,BUFFET,1,3,UN,13.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
911,61.56,0.832,KG,57.07,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
912,26.58,0.322,KG,22.08,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
913,31.39,1,UN,4.5,4.5,LIMONADA,1,0.392,KG,26.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
