Cliente,valorTotal,qCom,uCom,vProd,vUnCom,xProd,indTot,qCom (2),uCom (2),vProd (2),vUnCom (2),xProd (2),indTot (2),qCom (3),uCom (3),vProd (3),vUnCom (3),xProd (3),indTot (3),qCom (4),uCom (4),vProd (4),vUnCom (4),xProd (4),Scored Labels
558,33.44,0.422,KG,28.94,68.6,BUFFET,1,1,UN,4.5,4.5,SUCO,,,"",,,"",,,"",,,"",
559,43.4,1,UN,4.5,4.5,SUCO,1,0.57,KG,38.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
560,19.45,1,UN,4.5,4.5,SUCO,1,0.218,KG,14.95,68.6,BUFFET,,,"",,,"",,,"",,,"",
561,32.35,0.406,KG,27.85,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
562,27.27,0.332,KG,22.77,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
563,30.29,0.376,KG,25.79,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
564,30.15,1,UN,4.5,4.5,LIMONADA,1,0.374,KG,25.65,68.6,BUFFET,,,"",,,"",,,"",,,"",
565,22.15,1,UN,3.5,3.5,AGUA,1,0.272,KG,18.65,68.6,BUFFET,,,"",,,"",,,"",,,"",
566,23.53,1,UN,3.5,3.5,AGUA,1,0.292,KG,20.03,68.6,BUFFET,,,"",,,"",,,"",,,"",
567,27,0.328,KG,22.5,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
568,37.38,1,UN,3.5,3.5,AGUA,1,0.494,KG,33.88,68.6,BUFFET,,,"",,,"",,,"",,,"",
569,31.35,1,UN,3.5,3.5,AGUA,1,0.406,KG,27.85,68.6,BUFFET,,,"",,,"",,,"",,,"",
570,39.03,1,UN,3.5,3.5,AGUA,1,0.518,KG,35.53,68.6,BUFFET,,,"",,,"",,,"",,,"",
571,30.25,1,UN,3.5,3.5,AGUA,1,0.39,KG,26.75,68.6,BUFFET,,,"",,,"",,,"",,,"",
572,30.39,1,UN,3.5,3.5,AGUA,1,0.392,KG,26.89,68.6,BUFFET,,,"",,,"",,,"",,,"",
573,43.15,1,UN,3.5,3.5,AGUA,1,0.578,KG,39.65,68.6,BUFFET,,,"",,,"",,,"",,,"",
574,48.12,0.636,KG,43.62,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
575,32.9,0.414,KG,28.4,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
576,26.72,0.324,KG,22.22,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
577,58.82,0.792,KG,54.33,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
578,20,0.226,KG,15.5,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
579,26.58,0.322,KG,22.08,68.6,BUFFET,1,1,UN,4.5,4.5,CERVEJA,,,"",,,"",,,"",,,"",
580,41.4,0.538,KG,36.9,68.6,BUFFET,1,1,UN,4.5,4.5,REFRIGERANTE,,,"",,,"",,,"",,,"",
581,38.89,1,UN,3.5,3.5,AGUA,1,0.516,KG,35.39,68.6,BUFFET,,,"",,,"",,,"",,,"",
